date,minutes,bhikkhus,country
2014-11-21,90,4,pt
2015-04-03,90,4,pt
2015-04-17,90,4,pt
2015-05-17,55,5,pt
2015-06-15,58,4,pt
2015-06-30,58,6,pt
2015-07-30,53,5,pt
2015-08-29,49,5,pt
2015-09-12,43,5,pt
2015-10-12,46,5,pt
2015-11-25,50,4,gb
2016-02-22,47,4,pt
2016-04-06,49,4,pt
2016-05-20,48,4,pt
2016-07-19,53,4,pt
2016-08-03,50,4,pt
2016-09-01,53,4,pt
2016-11-14,48,5,gb
2016-11-29,45,5,gb
2016-12-14,45,5,pt
2017-01-12,46,5,pt
2017-01-27,47,5,pt
2017-02-25,43,4,pt
2017-03-12,43,7,pt
2017-03-27,45,4,pt
2017-04-11,44,5,pt
2017-04-25,45,5,pt
2017-05-10,50,9,pt
2017-07-08,45,5,pt
2017-07-23,46,5,pt
2017-08-07,46,5,pt
2017-08-21,48,5,pt
2017-09-05,46,5,pt
2017-09-20,51,5,pt
2017-11-03,56,5,pt
2017-11-18,48,4,pt
2017-12-03,52,4,gb
2017-12-17,48,4,gb
2018-01-16,47,4,pt
2018-02-14,47,4,pt
2018-03-01,46,4,pt
2018-03-16,49,5,pt
2018-03-31,50,5,pt
2018-04-14,49,5,pt
2018-05-14,52,5,pt
2018-05-29,48,5,pt
2018-07-12,46,9,it
2018-07-27,48,6,pt
2018-08-11,49,6,pt
2018-08-26,48,6,pt
2018-09-09,47,5,pt
2018-09-24,48,6,pt
2018-10-09,48,5,pt
2018-11-07,49,14,pt
2018-11-22,47,6,gb
2018-12-07,48,4,gb
2018-12-22,49,5,pt
2019-02-04,52,5,pt
2019-02-19,46,5,pt
2019-03-05,50,4,pt
2019-03-20,49,4,pt
2019-04-04,49,6,pt
2019-04-19,47,4,pt
2019-05-03,50,4,pt
2019-05-18,46,4,pt
2019-06-02,48,7,pt
2019-06-17,50,4,pt
2019-07-16,50,4,pt
2019-07-31,47,4,pt
2019-08-15,48,4,pt
2019-09-13,48,4,pt
2019-11-26,49,4,pt
